Network,Site,State,Latitude,Longitude,Elevation
IMPROVE,500038001.0,VT,43.1482,-73.1268,1015.3333
IMPROVE,500070007.0,VT,44.5284,-72.8688,401.0
IMPROVE,500258001.0,VT,42.9561,-72.9098,882.09
IMPROVE,511139000.0,VA,38.5229,-78.4348,1079.25
IMPROVE,511639000.0,VA,37.6266,-79.5125,289.5
IMPROVE,511639001.0,VA,37.6167,-79.4833,219.0
IMPROVE,530090020.0,WA,48.0065,-122.9727,599.6667
IMPROVE,530330080.0,WA,47.5696,-122.3119,97.6667
IMPROVE,530370004.0,WA,47.422,-121.4259,1049.0
IMPROVE,530390010.0,WA,45.56926,-122.21029,230.0
IMPROVE,530390011.0,WA,45.6644,-121.00079999999998,178.5
IMPROVE,530410007.0,WA,46.6243,-121.3881,1827.3333
IMPROVE,530470012.0,WA,48.3877,-119.9275,1627.3333
IMPROVE,530530014.0,WA,46.7583,-122.1244,439.0
IMPROVE,530630051.0,WA,47.9045,-117.8609,552.0
IMPROVE,530730020.0,WA,48.9533,-122.5586,28.0
IMPROVE,530730022.0,WA,48.7316,-121.0646,568.6667
IMPROVE,540939000.0,WV,39.1053,-79.4261,1182.3333
IMPROVE,550410007.0,WI,45.56495,-88.80838,564.0
IMPROVE,560019000.0,WY,41.3662,-106.2418,3196.0
IMPROVE,560050123.0,WY,44.6634,-105.2874,1195.0
IMPROVE,560199000.0,WY,44.3335,-106.9565,2470.5
IMPROVE,560299002.0,WY,44.7448,-109.3816,2482.5
IMPROVE,560359000.0,WY,42.9749,-109.7579,2626.6667
IMPROVE,560399000.0,WY,44.5653,-110.4002,2425.0
IMPROVE,560399001.0,WY,44.5654,-110.4003,2442.25
IMPROVE,780209000.0,VI,18.3363,-64.7962,51.3333
